"Trial_ID","Condition","Phase","Study_Design","Enrollment","Location","Intervention","Outcome_Measure","Trial_Description","Number_of_Sites","Randomized_Patients_per_Site","Recruitment_Time_Months","Type"
"1","COVID-19","1","Non-Randomized","280","UK","Behavioral Therapy","Tumor Size","Study investigating Multiple Sclerosis treatment using Drug: Chemotherapy.","56","49","35","Ice"
"2","Prostate Cancer","2","Randomized","60","Germany","Vaccine: mRNA","Infection Rate","Study investigating Migraine treatment using Radiation Therapy.","97","45","26","Ice"
"3","Diabetes Mellitus","3","Randomized","763","Italy","Surgery: Bypass","Infection Rate","Study investigating Parkinson's Disease treatment using Radiation Therapy.","19","33","17","Water"
"4","HIV/AIDS","1","Randomized","744","Canada","Device: Pacemaker","Pain Reduction","Study investigating Arthritis treatment using Vaccine: mRNA.","76","19","34","Poison"
"5","Breast Cancer","1","Randomized","419","Germany","Device: Pacemaker","Survival Rate","Study investigating Epilepsy treatment using Drug: Anti-inflammatory.","65","49","34","Fairy"
"6","Lung Cancer","3","Non-Randomized","579","Germany","Surgery: Bypass","Tumor Size","Study investigating Multiple Sclerosis treatment using Drug: Anti-inflammatory.","25","5","26","Fire"
"7","Epilepsy","2","Randomized","751","Germany","Drug: Metformin","Infection Rate","Study investigating Alzheimer's Disease treatment using Drug: Chemotherapy.","87","29","14","Normal"
"8","Obesity","1","Non-Randomized","314","Australia","Device: Pacemaker","Mood Score","Study investigating Stroke treatment using Device: Pacemaker.","91","11","4","Fighting"
"9","Asthma","3","Non-Randomized","748","Germany","Radiation Therapy","Mood Score","Study investigating Multiple Sclerosis treatment using Vaccine: mRNA.","79","13","5","Flying"
"10","Heart Disease","2","Non-Randomized","306","Italy","Vaccine: mRNA","Survival Rate","Study investigating Lung Cancer treatment using Vaccine: mRNA.","79","28","19","Ice"
"11","Lung Cancer","2","Non-Randomized","304","Germany","Vaccine: mRNA","Cognitive Function","Study investigating Breast Cancer treatment using Vaccine: mRNA.","92","5","4","Fire"
"12","Leukemia","2","Non-Randomized","176","France","Behavioral Therapy","Infection Rate","Study investigating Multiple Sclerosis treatment using Gene Therapy.","28","48","4","Dark"
"13","HIV/AIDS","3","Non-Randomized","949","Brazil","Surgery: Bypass","Survival Rate","Study investigating Obesity treatment using Behavioral Therapy.","7","12","30","Poison"
"14","Migraine","2","Randomized","803","USA","Drug: Chemotherapy","Mood Score","Study investigating Heart Disease treatment using Surgery: Bypass.","26","28","25","Psychic"
"15","Epilepsy","1","Non-Randomized","420","Brazil","Dietary Supplement","Viral Load","Study investigating HIV/AIDS treatment using Gene Therapy.","57","15","34","Normal"
"16","Diabetes Mellitus","3","Randomized","728","Italy","Drug: Anti-inflammatory","Survival Rate","Study investigating COVID-19 treatment using Drug: Anti-inflammatory.","6","21","35","Water"
"17","Kidney Disease","1","Non-Randomized","33","France","Gene Therapy","Mood Score","Study investigating Migraine treatment using Drug: Chemotherapy.","92","12","3","Water"
"18","Alzheimer's Disease","3","Randomized","186","Japan","Behavioral Therapy","Viral Load","Study investigating Migraine treatment using Drug: Metformin.","34","39","21","Ghost"
"19","Epilepsy","2","Non-Randomized","49","Germany","Device: Pacemaker","Pain Reduction","Study investigating Obesity treatment using Drug: Metformin.","42","39","4","Steel"
"20","Obesity","3","Randomized","117","Australia","Drug: Chemotherapy","Viral Load","Study investigating Arthritis treatment using Behavioral Therapy.","6","37","28","Fighting"
"21","Leukemia","3","Randomized","301","Italy","Radiation Therapy","Lung Capacity","Study investigating Asthma treatment using Gene Therapy.","68","9","34","Dark"
"22","Asthma","3","Non-Randomized","438","Japan","Dietary Supplement","Viral Load","Study investigating Parkinson's Disease treatment using Drug: Chemotherapy.","64","46","8","Flying"
"23","Obesity","1","Randomized","376","USA","Radiation Therapy","Viral Load","Study investigating Obesity treatment using Radiation Therapy.","25","43","34","Fighting"
"24","Obesity","1","Randomized","754","USA","Vaccine: mRNA","Tumor Size","Study investigating Lung Cancer treatment using Device: Pacemaker.","37","45","6","Ice"
"25","Depression","3","Randomized","315","Australia","Vaccine: mRNA","Viral Load","Study investigating Arthritis treatment using Radiation Therapy.","80","32","13","Ice"
"26","Prostate Cancer","2","Randomized","833","Australia","Surgery: Bypass","Infection Rate","Study investigating COVID-19 treatment using Drug: Chemotherapy.","62","11","19","Fairy"
"27","Kidney Disease","2","Non-Randomized","450","Australia","Drug: Metformin","Tumor Size","Study investigating Lung Cancer treatment using Surgery: Bypass.","26","13","26","Water"
